Time;Channel A;Channel B
(ns);(mV);(mV)

-461,40001005;10,19008000;11,82333000
-461,00001004;10,28236000;11,86946000
-460,60001004;10,07320000;11,62340000
-460,20001003;9,61183500;11,07283000
-459,80001003;9,37807500;11,31582000
-459,40001002;9,37807500;12,37389000
-459,00001002;9,62413800;12,38619000
-458,60001001;10,13164000;11,37426000
-458,20001001;10,11934000;10,90674000
-457,80001000;9,56569900;10,99901000
-457,40001000;9,56569900;11,01132000
-457,00000999;10,11934000;10,96518000
-456,60000998;10,13164000;11,19894000
-456,20000998;9,62413800;11,70645000
-455,80000997;9,39037900;11,69414000
-455,40000997;9,43651600;11,14050000
-455,00000996;9,44881800;11,12820000
-454,60000996;9,44881800;11,63570000
-454,20000995;9,43651600;11,88177000
-453,80000995;9,39037900;11,88177000
-453,40000994;9,61183500;11,64801000
-453,00000994;10,07320000;11,18664000
-452,60000993;10,29466000;10,94058000
-452,20000993;10,24852000;10,89444000
-451,80000992;10,24852000;11,37426000
-451,40000992;10,29466000;12,38619000
-451,00000991;10,06090000;12,38619000
-450,60000990;9,55339400;11,37426000
-450,20000990;9,55339400;10,90674000
-449,80000989;10,06090000;10,99901000
-449,40000989;10,30696000;11,02362000
-449,00000988;10,30696000;11,02362000
-448,60000988;10,04860000;11,01132000
-448,20000987;9,49803200;10,96518000
-447,80000987;9,71948700;11,18664000
-447,40000986;10,68528000;11,64801000
-447,00000986;11,14050000;11,86946000
-446,60000985;11,04823000;11,82333000
-446,20000985;11,03592000;11,81102000
-445,80000984;11,08206000;11,81102000
-445,40000984;10,86060000;11,81102000
-445,00000983;10,39924000;11,81102000
-444,60000982;10,19008000;11,81102000
-444,20000982;10,28236000;11,81102000
-443,80000981;10,07320000;11,82333000
-443,40000981;9,61183500;11,86946000
-443,00000980;9,39037900;11,64801000
-442,60000980;9,43651600;11,18664000
-442,20000979;9,44881800;10,95288000
-441,80000979;9,44881800;10,95288000
-441,40000978;9,43651600;11,19894000
-441,00000978;9,39037900;11,70645000
-440,60000977;9,61183500;11,70645000
-440,20000977;10,07320000;11,19894000
-439,80000976;10,29466000;10,95288000
-439,40000976;10,24852000;10,95288000
-439,00000975;10,23622000;11,19894000
-438,60000974;10,23622000;11,70645000
-438,20000974;10,23622000;11,71567000
-437,80000973;10,23622000;11,25738000
-437,40000973;10,23622000;10,77756000
-437,00000972;10,23622000;10,27313000
-436,60000972;10,23622000;10,50689000
-436,20000971;10,23622000;11,47269000
-435,80000971;10,23622000;11,94943000
-435,40000970;10,23622000;11,94943000
-435,00000970;10,23622000;11,46038000
-434,60000969;10,23622000;10,44845000
-434,20000969;10,23622000;10,44845000
-433,80000968;10,23622000;11,46038000
-433,40000967;10,23622000;11,92790000
-433,00000967;10,23622000;11,83563000
-432,60000966;10,23622000;11,79872000
-432,20000966;10,23622000;11,75258000
-431,80000965;10,24852000;11,98634000
-431,40000965;10,29466000;12,49385000
-431,00000964;10,07320000;12,50307000
-430,60000964;9,61183500;12,04478000
-430,20000963;9,39037900;11,58957000
-429,80000963;9,43651600;11,17433000
-429,40000962;9,43651600;10,95288000
-429,00000962;9,39037900;10,95288000
-428,60000961;9,62413800;11,19894000
-428,20000961;10,13164000;11,70645000
-427,80000960;10,10704000;11,70645000
-427,40000959;9,50725700;11,19894000
-427,00000959;9,73179100;10,94058000
-426,60000958;10,74065000;10,89444000
-426,20000958;10,97441000;11,37426000
-425,80000957;10,42384000;12,38619000
-425,40000957;10,17778000;12,38619000
-425,00000956;10,22392000;11,37426000
-424,60000956;10,23622000;10,88521000
-424,20000955;10,23622000;10,88521000
-423,80000955;10,23622000;11,36196000
-423,40000954;10,23622000;12,32775000
-423,00000954;10,23622000;12,57382000
-422,60000953;10,23622000;12,11553000
-422,20000953;10,22392000;11,41425000
-421,80000952;10,17778000;10,49459000
-421,40000951;10,41154000;10,26083000
-421,00000951;10,91905000;10,71912000
-420,60000950;10,91905000;11,43270000
-420,20000950;10,41154000;12,39850000
-419,80000949;10,17778000;12,37389000
-419,40000949;10,22392000;11,31582000
-419,00000948;10,23622000;11,07283000
-418,60000948;10,23622000;11,62340000
-418,20000947;10,23622000;11,86946000
-417,80000947;10,23622000;11,82333000
-417,40000946;10,23622000;11,81102000
-417,00000946;10,23622000;11,81102000
-416,60000945;10,24852000;11,79872000
-416,20000945;10,29466000;11,75258000
-415,80000944;10,07320000;11,98634000
-415,40000943;9,61183500;12,49385000
-415,00000943;9,37807500;12,50307000
-414,60000942;9,37807500;12,04478000
-414,20000942;9,62413800;11,57726000
-413,80000941;10,13164000;11,11897000
-413,40000941;10,10704000;11,14050000
-413,00000940;9,50725700;11,69414000
-412,60000940;9,73179100;11,70645000
-412,20000939;10,74065000;11,19894000
-411,80000939;10,97441000;10,95288000
-411,40000938;10,42384000;10,95288000
-411,00000938;10,17778000;11,18664000
-410,60000937;10,22392000;11,64801000
-410,20000937;10,23622000;11,88177000
-409,80000936;10,23622000;11,88177000
-409,40000935;10,23622000;11,63570000
-409,00000935;10,23622000;11,12820000
