Time;Channel A;Channel B
(us);(mV);(mV)

-0,94192592;-0,39370070;1,18110200
-0,94032592;-0,78740150;1,57480300
-0,93872592;-0,78740150;0,78740150
-0,93712592;-0,39370070;1,18110200
-0,93552592;-1,18110200;1,57480300
-0,93392592;0,00000000;0,78740150
-0,93232592;-0,78740150;0,39370070
-0,93072592;0,00000000;0,39370070
-0,92912592;-0,39370070;0,39370070
-0,92752592;-0,78740150;0,39370070
-0,92592592;-0,39370070;1,18110200
-0,92432592;-0,39370070;1,57480300
-0,92272592;-0,39370070;1,57480300
-0,92112592;0,00000000;1,18110200
-0,91952592;-0,78740150;0,78740150
-0,91792592;-1,18110200;0,78740150
-0,91632592;-0,39370070;1,18110200
-0,91472592;-0,78740150;0,39370070
-0,91312592;-0,78740150;0,78740150
-0,91152592;0,00000000;0,39370070
-0,90992592;0,00000000;1,18110200
-0,90832592;-1,57480300;1,18110200
-0,90672592;-0,39370070;0,78740150
-0,90512592;0,00000000;0,39370070
-0,90352592;0,00000000;1,18110200
-0,90192592;-1,18110200;0,78740150
-0,90032592;0,00000000;1,18110200
-0,89872592;-0,78740150;1,18110200
-0,89712592;0,00000000;0,78740150
-0,89552592;-0,78740150;0,78740150
-0,89392592;0,00000000;0,78740150
-0,89232592;-0,39370070;0,78740150
-0,89072592;-0,39370070;1,18110200
-0,88912592;-0,39370070;1,18110200
-0,88752592;-0,39370070;0,78740150
-0,88592592;-0,78740150;0,78740150
-0,88432592;-0,78740150;1,18110200
-0,88272592;-0,39370070;0,78740150
-0,88112592;0,00000000;0,78740150
-0,87952592;-1,18110200;0,78740150
-0,87792592;0,00000000;0,78740150
-0,87632592;-0,39370070;1,57480300
-0,87472592;-0,39370070;-0,39370070
-0,87312592;-1,18110200;1,18110200
-0,87152592;-0,78740150;0,00000000
-0,86992592;-0,39370070;0,00000000
-0,86832592;0,39370070;0,39370070
-0,86672592;-0,39370070;0,39370070
-0,86512592;-1,18110200;0,78740150
-0,86352592;0,39370070;1,18110200
-0,86192592;-1,57480300;1,18110200
-0,86032592;-0,39370070;1,18110200
-0,85872592;-0,78740150;0,39370070
-0,85712592;-1,18110200;1,18110200
-0,85552592;-1,18110200;0,78740150
-0,85392592;0,00000000;1,18110200
-0,85232592;-0,39370070;0,39370070
-0,85072592;-0,39370070;0,78740150
-0,84912592;-0,39370070;0,78740150
-0,84752592;0,00000000;0,00000000
-0,84592592;-0,78740150;1,18110200
-0,84432592;-0,78740150;1,18110200
