REFDES;COMP_VALUE;SYM_NAME;SYM_TYPE;SYM_X;SYM_Y;SYM_CENTER_X;SYM_CENTER_Y;SYM_ROTATE;SYM_MIRROR;COMPONENT_ID
C143;1nF;C_0201_0603Metric;;27.545.000;103.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;27.545.000;61.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;62.085.000;145.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;96.625.000;19.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;131.165.000;103.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;62.085.000;19.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;96.625.000;103.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;62.085.000;103.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;131.165.000;19.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;27.545.000;19.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;131.165.000;61.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;62.085.000;61.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;131.165.000;145.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;96.625.000;145.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;96.625.000;61.035.000;;;180.000.000;YES;26088
C143;1nF;C_0201_0603Metric;;27.545.000;145.035.000;;;180.000.000;YES;26088
C144;100nF;C_0201_0603Metric;;98.075.000;18.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;98.075.000;144.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;98.075.000;102.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;28.995.000;18.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;132.615.000;102.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;63.535.000;18.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;63.535.000;60.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;28.995.000;102.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;132.615.000;18.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;28.995.000;60.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;63.535.000;102.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;63.535.000;144.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;132.615.000;144.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;28.995.000;144.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;98.075.000;60.495.000;;;180.000.000;YES;26069
C144;100nF;C_0201_0603Metric;;132.615.000;60.495.000;;;180.000.000;YES;26069
C145;1pF;C_0201_0603Metric;;131.165.000;18.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;131.165.000;102.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;131.165.000;60.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;96.625.000;18.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;96.625.000;144.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;62.085.000;102.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;62.085.000;60.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;96.625.000;102.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;27.545.000;60.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;62.085.000;144.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;131.165.000;144.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;27.545.000;18.495.000;;;180.000.000;YES;25983
C145;1pF;C_0201_0603Metric;;96.625.000;60.495.000;;;180.000.000;YES;25983
