Step,ToT (s)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1.44178e-10
11,2.47419e-10
12,3.18445e-10
13,3.75909e-10
14,4.2522e-10
15,4.68858e-10
16,5.08348e-10
17,5.44647e-10
18,5.78377e-10
19,6.09989e-10
20,6.39816e-10
21,6.6809e-10
22,6.94996e-10
23,7.20668e-10
24,7.45219e-10
25,7.68783e-10
26,7.91393e-10
27,8.13191e-10
28,8.34198e-10
29,8.54485e-10
30,8.74131e-10
31,8.93173e-10
32,9.11659e-10
33,9.29623e-10
34,9.471e-10
35,9.64124e-10
36,9.80726e-10
37,9.96922e-10
38,1.01274e-09
39,1.02819e-09
40,1.0433e-09
41,1.05808e-09
42,1.07255e-09
43,1.08671e-09
44,1.10058e-09
45,1.11416e-09
46,1.12746e-09
47,1.14051e-09
48,1.15331e-09
49,1.16584e-09
50,1.17815e-09
51,1.19022e-09
52,1.20206e-09
53,1.21371e-09
54,1.22513e-09
55,1.23635e-09
56,1.24739e-09
57,1.25823e-09
58,1.26891e-09
59,1.27938e-09
60,1.28972e-09
61,1.29986e-09
62,1.30987e-09
63,1.31971e-09
64,1.32942e-09
65,1.33897e-09
66,1.3484e-09
67,1.35767e-09
68,1.36684e-09
69,1.37585e-09
70,1.38476e-09
71,1.39355e-09
72,1.40221e-09
73,1.41077e-09
74,1.41921e-09
75,1.42755e-09
76,1.43578e-09
77,1.44391e-09
78,1.45195e-09
79,1.45987e-09
80,1.46771e-09
81,1.47545e-09
82,1.4831e-09
83,1.49066e-09
84,1.49813e-09
85,1.50551e-09
86,1.51282e-09
87,1.52003e-09
88,1.52716e-09
89,1.53423e-09
90,1.54119e-09
91,1.54809e-09
92,1.55492e-09
93,1.56166e-09
94,1.56833e-09
95,1.57493e-09
96,1.58146e-09
97,1.58791e-09
98,1.59429e-09
99,1.60062e-09
100,1.60686e-09
101,1.61304e-09
102,1.61917e-09
103,1.62523e-09
104,1.63121e-09
105,1.63713e-09
106,1.64301e-09
107,1.64881e-09
108,1.65455e-09
109,1.66024e-09
110,1.66587e-09
111,1.67145e-09
112,1.67696e-09
113,1.68241e-09
114,1.68783e-09
115,1.69319e-09
116,1.69848e-09
117,1.70372e-09
118,1.70892e-09
119,1.71407e-09
120,1.71917e-09
121,1.72421e-09
122,1.72921e-09
123,1.73416e-09
124,1.73907e-09
125,1.74393e-09
126,1.74874e-09
127,1.75351e-09
128,1.75823e-09
129,1.76292e-09
130,1.76757e-09
131,1.77216e-09
132,1.77671e-09
133,1.78123e-09
134,1.7857e-09
135,1.79015e-09
136,1.79454e-09
137,1.79889e-09
138,1.80321e-09
139,1.8075e-09
140,1.81175e-09
141,1.81597e-09
142,1.82014e-09
143,1.82427e-09
144,1.82837e-09
145,1.83244e-09
146,1.83648e-09
147,1.84049e-09
148,1.84446e-09
149,1.84839e-09
150,1.8523e-09
151,1.85617e-09
