Step,ToT (s)
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,7.33103e-11
34,2.35795e-10
35,3.24267e-10
36,3.92646e-10
37,4.50491e-10
38,5.0144e-10
39,5.47381e-10
40,5.89375e-10
41,6.28162e-10
42,6.64264e-10
43,6.98155e-10
44,7.30157e-10
45,7.60571e-10
46,7.89612e-10
47,8.17458e-10
48,8.44234e-10
49,8.70044e-10
50,8.94945e-10
51,9.19018e-10
52,9.42314e-10
53,9.64846e-10
54,9.86683e-10
55,1.00786e-09
56,1.02837e-09
57,1.04829e-09
58,1.06766e-09
59,1.0865e-09
60,1.10483e-09
61,1.1227e-09
62,1.14014e-09
63,1.15719e-09
64,1.17385e-09
65,1.19016e-09
66,1.20613e-09
67,1.2218e-09
68,1.23718e-09
69,1.25227e-09
70,1.26709e-09
71,1.28166e-09
72,1.29598e-09
73,1.31007e-09
74,1.32394e-09
75,1.33758e-09
76,1.351e-09
77,1.36421e-09
78,1.37722e-09
79,1.39002e-09
80,1.4026e-09
81,1.41499e-09
82,1.42719e-09
83,1.43919e-09
84,1.45099e-09
85,1.46261e-09
86,1.47404e-09
87,1.48528e-09
88,1.49637e-09
89,1.50725e-09
90,1.51798e-09
91,1.52854e-09
92,1.53893e-09
93,1.54918e-09
94,1.55926e-09
95,1.56922e-09
96,1.57901e-09
97,1.58868e-09
98,1.5982e-09
99,1.6076e-09
100,1.61687e-09
101,1.62602e-09
102,1.63506e-09
103,1.64398e-09
104,1.65279e-09
105,1.66149e-09
106,1.6701e-09
107,1.67859e-09
108,1.68699e-09
109,1.6953e-09
110,1.70352e-09
111,1.71165e-09
112,1.71968e-09
113,1.72764e-09
114,1.73552e-09
115,1.74331e-09
116,1.75103e-09
117,1.75867e-09
118,1.76624e-09
119,1.77374e-09
120,1.78117e-09
121,1.78852e-09
122,1.79581e-09
123,1.80304e-09
124,1.8102e-09
125,1.81729e-09
126,1.82433e-09
127,1.8313e-09
128,1.83821e-09
129,1.84506e-09
130,1.85186e-09
131,1.85859e-09
132,1.86527e-09
133,1.87189e-09
134,1.87845e-09
135,1.88496e-09
136,1.89142e-09
137,1.89781e-09
138,1.90416e-09
139,1.91045e-09
140,1.91669e-09
141,1.92287e-09
142,1.929e-09
143,1.93508e-09
144,1.9411e-09
145,1.94707e-09
146,1.95299e-09
147,1.95886e-09
148,1.96466e-09
149,1.97043e-09
150,1.97615e-09
151,1.9818e-09
152,1.98741e-09
153,1.99297e-09
154,1.99849e-09
155,2.00394e-09
156,2.00934e-09
157,2.01471e-09
158,2.02003e-09
159,2.02528e-09
160,2.03049e-09
161,2.03566e-09
