Step,ToT (s)
1,2.00322e-09
2,2.00839e-09
3,2.01348e-09
4,2.0185e-09
5,2.02344e-09
6,2.02831e-09
7,2.0331e-09
8,2.03782e-09
9,2.04247e-09
10,2.04706e-09
11,2.05158e-09
12,2.05605e-09
13,2.06044e-09
14,2.06477e-09
15,2.06904e-09
16,2.07325e-09
17,2.07741e-09
18,2.0815e-09
19,2.08554e-09
20,2.08953e-09
21,2.09345e-09
22,2.09733e-09
23,2.10116e-09
24,2.10493e-09
25,2.10866e-09
26,2.11234e-09
27,2.11597e-09
28,2.11955e-09
29,2.12309e-09
30,2.12658e-09
31,2.13003e-09
32,2.13343e-09
33,2.13679e-09
34,2.14011e-09
35,2.14339e-09
36,2.14663e-09
37,2.14982e-09
38,2.15298e-09
39,2.1561e-09
40,2.15918e-09
41,2.16222e-09
42,2.16523e-09
43,2.1682e-09
44,2.17114e-09
45,2.17404e-09
46,2.17691e-09
47,2.17975e-09
48,2.18255e-09
49,2.18532e-09
50,2.18806e-09
51,2.19076e-09
52,2.19343e-09
53,2.19608e-09
54,2.19868e-09
55,2.20126e-09
56,2.20381e-09
57,2.20633e-09
58,2.20884e-09
59,2.21131e-09
60,2.21375e-09
61,2.21616e-09
62,2.21855e-09
63,2.22091e-09
64,2.22325e-09
65,2.22555e-09
66,2.22783e-09
67,2.23009e-09
68,2.23232e-09
69,2.23452e-09
70,2.2367e-09
71,2.23887e-09
72,2.24101e-09
73,2.24313e-09
74,2.24524e-09
75,2.24731e-09
76,2.24936e-09
77,2.2514e-09
78,2.25341e-09
79,2.25539e-09
80,2.25736e-09
81,2.25931e-09
82,2.26123e-09
83,2.26313e-09
84,2.26502e-09
85,2.26688e-09
86,2.26873e-09
87,2.27055e-09
88,2.27237e-09
89,2.27417e-09
90,2.27596e-09
91,2.27771e-09
92,2.27946e-09
93,2.28119e-09
94,2.2829e-09
95,2.28459e-09
96,2.28626e-09
97,2.28792e-09
98,2.28956e-09
99,2.29118e-09
100,2.29278e-09
101,2.29437e-09
102,2.29595e-09
103,2.29751e-09
104,2.29905e-09
105,2.30057e-09
106,2.30209e-09
107,2.3036e-09
108,2.30509e-09
109,2.30657e-09
110,2.30804e-09
111,2.30949e-09
112,2.31093e-09
113,2.31235e-09
114,2.31375e-09
115,2.31515e-09
116,2.31653e-09
117,2.31789e-09
118,2.31925e-09
119,2.32059e-09
120,2.32191e-09
121,2.32323e-09
122,2.32453e-09
123,2.32582e-09
124,2.32709e-09
125,2.32836e-09
126,2.32961e-09
127,2.33085e-09
128,2.33208e-09
129,2.33331e-09
130,2.33453e-09
131,2.33573e-09
132,2.33693e-09
133,2.33811e-09
134,2.33928e-09
135,2.34044e-09
136,2.34159e-09
137,2.34273e-09
138,2.34386e-09
139,2.34497e-09
140,2.34608e-09
141,2.34718e-09
142,2.34826e-09
143,2.34934e-09
144,2.3504e-09
145,2.35145e-09
146,2.3525e-09
147,2.35354e-09
148,2.35456e-09
149,2.35558e-09
150,2.35658e-09
151,2.35758e-09
152,2.35857e-09
153,2.35956e-09
154,2.36054e-09
155,2.36151e-09
156,2.36248e-09
157,2.36343e-09
158,2.36438e-09
159,2.36532e-09
160,2.36624e-09
161,2.36717e-09
162,2.36808e-09
163,2.36898e-09
164,2.36988e-09
165,2.37076e-09
166,2.37164e-09
167,2.37251e-09
168,2.37337e-09
169,2.37423e-09
170,2.37508e-09
171,2.37591e-09
172,2.37675e-09
173,2.37757e-09
174,2.37839e-09
175,2.37919e-09
176,2.37999e-09
177,2.38079e-09
178,2.38157e-09
179,2.38235e-09
180,2.38313e-09
181,2.38389e-09
182,2.38466e-09
183,2.38542e-09
184,2.38618e-09
185,2.38693e-09
186,2.38767e-09
187,2.38841e-09
188,2.38913e-09
189,2.38986e-09
190,2.39057e-09
191,2.39128e-09
192,2.39199e-09
193,2.39268e-09
194,2.39337e-09
195,2.39406e-09
196,2.39473e-09
197,2.39541e-09
198,2.39607e-09
199,2.39673e-09
200,2.39738e-09
201,2.39803e-09
202,2.39867e-09
203,2.39931e-09
204,2.39994e-09
205,2.40056e-09
206,2.40118e-09
207,2.40179e-09
208,2.4024e-09
209,2.403e-09
210,2.40359e-09
211,2.40418e-09
212,2.40477e-09
213,2.40534e-09
214,2.40592e-09
215,2.40649e-09
216,2.40706e-09
217,2.40764e-09
218,2.4082e-09
219,2.40876e-09
220,2.40931e-09
221,2.40986e-09
222,2.41041e-09
223,2.41095e-09
224,2.41148e-09
225,2.41201e-09
226,2.41253e-09
227,2.41305e-09
228,2.41357e-09
229,2.41408e-09
230,2.41458e-09
231,2.41508e-09
232,2.41558e-09
233,2.41607e-09
234,2.41656e-09
235,2.41704e-09
236,2.41752e-09
237,2.41799e-09
238,2.41846e-09
239,2.41892e-09
240,2.41938e-09
241,2.41984e-09
242,2.42029e-09
243,2.42073e-09
244,2.42118e-09
245,2.42161e-09
246,2.42205e-09
247,2.42248e-09
248,2.4229e-09
249,2.42333e-09
250,2.42374e-09
251,2.42416e-09
252,2.42457e-09
253,2.42497e-09
254,2.42538e-09
255,2.42578e-09
256,2.42618e-09
257,2.42659e-09
258,2.42698e-09
259,2.42738e-09
260,2.42777e-09
261,2.42815e-09
262,2.42853e-09
263,2.42891e-09
264,2.42929e-09
265,2.42966e-09
266,2.43002e-09
267,2.43039e-09
268,2.43075e-09
269,2.4311e-09
270,2.43146e-09
271,2.43181e-09
272,2.43215e-09
273,2.4325e-09
274,2.43284e-09
275,2.43317e-09
276,2.43351e-09
277,2.43383e-09
278,2.43416e-09
279,2.43448e-09
280,2.4348e-09
281,2.43512e-09
282,2.43543e-09
283,2.43574e-09
284,2.43605e-09
285,2.43635e-09
286,2.43665e-09
287,2.43694e-09
288,2.43724e-09
289,2.43753e-09
290,2.43782e-09
291,2.4381e-09
292,2.43838e-09
293,2.43866e-09
294,2.43893e-09
295,2.43921e-09
296,2.43948e-09
297,2.43974e-09
298,2.44e-09
299,2.44027e-09
300,2.44052e-09
301,2.44078e-09
302,2.44104e-09
303,2.4413e-09
304,2.44156e-09
305,2.44181e-09
306,2.44206e-09
307,2.44231e-09
308,2.44256e-09
309,2.4428e-09
310,2.44304e-09
311,2.44328e-09
312,2.44351e-09
313,2.44374e-09
314,2.44397e-09
315,2.4442e-09
316,2.44443e-09
317,2.44465e-09
318,2.44487e-09
319,2.44508e-09
320,2.4453e-09
321,2.44551e-09
322,2.44572e-09
323,2.44593e-09
324,2.44613e-09
325,2.44633e-09
326,2.44653e-09
327,2.44673e-09
328,2.44692e-09
329,2.44711e-09
330,2.4473e-09
331,2.44749e-09
332,2.44767e-09
333,2.44786e-09
334,2.44804e-09
335,2.44822e-09
336,2.44839e-09
337,2.44856e-09
338,2.44874e-09
339,2.4489e-09
340,2.44907e-09
341,2.44924e-09
342,2.4494e-09
343,2.44956e-09
344,2.44971e-09
345,2.44987e-09
346,2.45002e-09
347,2.45018e-09
348,2.45032e-09
349,2.45047e-09
350,2.45062e-09
351,2.45076e-09
352,2.4509e-09
353,2.45104e-09
354,2.45118e-09
355,2.45131e-09
356,2.45144e-09
357,2.45158e-09
358,2.45172e-09
359,2.45185e-09
360,2.45199e-09
361,2.45212e-09
362,2.45225e-09
363,2.45238e-09
364,2.4525e-09
365,2.45262e-09
366,2.45275e-09
367,2.45287e-09
368,2.45299e-09
369,2.4531e-09
370,2.45322e-09
371,2.45333e-09
372,2.45344e-09
373,2.45355e-09
374,2.45366e-09
375,2.45376e-09
376,2.45386e-09
377,2.45397e-09
378,2.45407e-09
379,2.45416e-09
380,2.45426e-09
381,2.45435e-09
382,2.45445e-09
383,2.45454e-09
384,2.45463e-09
385,2.45472e-09
386,2.4548e-09
387,2.45489e-09
388,2.45497e-09
389,2.45505e-09
390,2.45513e-09
391,2.4552e-09
392,2.45528e-09
393,2.45535e-09
394,2.45543e-09
395,2.4555e-09
396,2.45557e-09
397,2.45563e-09
398,2.4557e-09
399,2.45577e-09
400,2.45583e-09
401,2.45589e-09
402,2.45595e-09
403,2.45601e-09
404,2.45606e-09
405,2.45612e-09
406,2.45617e-09
407,2.45623e-09
408,2.45628e-09
409,2.45633e-09
410,2.45637e-09
411,2.45642e-09
412,2.45646e-09
413,2.45651e-09
414,2.45655e-09
415,2.45659e-09
416,2.45663e-09
417,2.45667e-09
418,2.4567e-09
419,2.45674e-09
420,2.45677e-09
421,2.4568e-09
422,2.45683e-09
423,2.45686e-09
424,2.4569e-09
425,2.45693e-09
426,2.45696e-09
427,2.457e-09
428,2.45703e-09
429,2.45705e-09
430,2.45708e-09
431,2.45711e-09
432,2.45713e-09
433,2.45716e-09
434,2.45718e-09
435,2.4572e-09
436,2.45722e-09
437,2.45724e-09
438,2.45725e-09
439,2.45727e-09
440,2.45728e-09
441,2.4573e-09
442,2.45731e-09
443,2.45732e-09
444,2.45733e-09
445,2.45733e-09
446,2.45734e-09
447,2.45735e-09
448,2.45735e-09
449,2.45735e-09
450,2.45736e-09
451,2.45736e-09
452,2.45736e-09
453,2.45735e-09
454,2.45735e-09
455,2.45735e-09
456,2.45734e-09
457,2.45733e-09
458,2.45733e-09
459,2.45732e-09
460,2.45731e-09
461,2.45729e-09
462,2.45728e-09
463,2.45727e-09
464,2.45725e-09
465,2.45724e-09
466,2.45722e-09
467,2.4572e-09
468,2.45718e-09
469,2.45716e-09
470,2.45714e-09
471,2.45712e-09
472,2.4571e-09
473,2.45707e-09
474,2.45704e-09
475,2.45702e-09
476,2.45699e-09
477,2.45696e-09
478,2.45693e-09
479,2.4569e-09
480,2.45687e-09
481,2.45683e-09
482,2.4568e-09
483,2.45677e-09
484,2.45673e-09
485,2.45669e-09
486,2.45666e-09
487,2.45662e-09
488,2.45658e-09
489,2.45654e-09
490,2.45649e-09
491,2.45645e-09
492,2.45641e-09
493,2.45636e-09
494,2.45632e-09
495,2.45627e-09
496,2.45622e-09
497,2.45617e-09
498,2.45612e-09
499,2.45607e-09
500,2.45602e-09
501,2.45597e-09
502,2.45591e-09
503,2.45586e-09
504,2.45581e-09
505,2.45576e-09
506,2.45571e-09
507,2.45566e-09
508,2.4556e-09
509,2.45555e-09
510,2.4555e-09
511,2.45544e-09
512,2.45539e-09
513,2.45533e-09
514,2.45527e-09
515,2.45521e-09
516,2.45515e-09
517,2.45509e-09
518,2.45503e-09
519,2.45497e-09
520,2.45491e-09
521,2.45484e-09
522,2.45478e-09
523,2.45471e-09
524,2.45465e-09
525,2.45458e-09
526,2.45451e-09
527,2.45444e-09
528,2.45437e-09
529,2.4543e-09
530,2.45423e-09
531,2.45416e-09
532,2.45408e-09
533,2.45401e-09
534,2.45394e-09
535,2.45386e-09
536,2.45378e-09
537,2.45371e-09
538,2.45363e-09
539,2.45355e-09
540,2.45347e-09
541,2.45339e-09
542,2.45331e-09
543,2.45323e-09
544,2.45315e-09
545,2.45307e-09
546,2.45298e-09
547,2.4529e-09
548,2.45281e-09
549,2.45273e-09
550,2.45264e-09
551,2.45255e-09
552,2.45246e-09
553,2.45237e-09
554,2.45228e-09
555,2.45219e-09
556,2.4521e-09
557,2.45201e-09
558,2.45192e-09
559,2.45182e-09
560,2.45173e-09
561,2.45163e-09
562,2.45154e-09
563,2.45144e-09
564,2.45134e-09
565,2.45125e-09
566,2.45115e-09
567,2.45105e-09
568,2.45095e-09
569,2.45085e-09
570,2.45074e-09
571,2.45064e-09
572,2.45054e-09
573,2.45044e-09
574,2.45034e-09
575,2.45023e-09
576,2.45013e-09
577,2.45002e-09
578,2.44991e-09
579,2.44981e-09
580,2.4497e-09
581,2.44959e-09
582,2.44948e-09
583,2.44937e-09
584,2.44926e-09
585,2.44915e-09
586,2.44904e-09
587,2.44893e-09
588,2.44882e-09
589,2.4487e-09
590,2.44859e-09
591,2.44848e-09
592,2.44836e-09
593,2.44824e-09
594,2.44813e-09
595,2.44801e-09
596,2.44789e-09
597,2.44777e-09
598,2.44766e-09
599,2.44754e-09
600,2.44742e-09
601,2.4473e-09
602,2.44717e-09
603,2.44705e-09
604,2.44693e-09
605,2.44681e-09
606,2.4467e-09
607,2.44658e-09
608,2.44646e-09
609,2.44634e-09
610,2.44622e-09
611,2.4461e-09
612,2.44598e-09
613,2.44585e-09
614,2.44573e-09
615,2.44561e-09
616,2.44548e-09
617,2.44536e-09
618,2.44523e-09
619,2.44511e-09
620,2.44498e-09
621,2.44486e-09
622,2.44473e-09
623,2.4446e-09
624,2.44447e-09
625,2.44434e-09
626,2.44421e-09
627,2.44408e-09
628,2.44395e-09
629,2.44382e-09
630,2.44369e-09
631,2.44356e-09
632,2.44343e-09
633,2.44329e-09
634,2.44316e-09
635,2.44302e-09
636,2.44289e-09
637,2.44275e-09
638,2.44262e-09
639,2.44248e-09
640,2.44235e-09
641,2.44221e-09
642,2.44207e-09
643,2.44194e-09
644,2.4418e-09
645,2.44166e-09
646,2.44152e-09
647,2.44138e-09
648,2.44124e-09
649,2.4411e-09
650,2.44096e-09
651,2.44082e-09
652,2.44067e-09
653,2.44053e-09
654,2.44039e-09
655,2.44024e-09
656,2.4401e-09
657,2.43996e-09
658,2.43981e-09
659,2.43966e-09
660,2.43952e-09
661,2.43937e-09
662,2.43923e-09
663,2.43908e-09
664,2.43893e-09
665,2.43878e-09
666,2.43863e-09
667,2.43848e-09
668,2.43833e-09
669,2.43818e-09
670,2.43803e-09
671,2.43788e-09
672,2.43773e-09
673,2.43758e-09
674,2.43743e-09
675,2.43728e-09
676,2.43712e-09
677,2.43697e-09
678,2.43682e-09
679,2.43666e-09
680,2.43651e-09
681,2.43636e-09
682,2.4362e-09
683,2.43604e-09
684,2.43589e-09
685,2.43573e-09
686,2.43558e-09
687,2.43542e-09
688,2.43526e-09
689,2.4351e-09
690,2.43494e-09
691,2.43478e-09
692,2.43462e-09
693,2.43446e-09
694,2.4343e-09
695,2.43414e-09
696,2.43398e-09
697,2.43382e-09
698,2.43366e-09
699,2.4335e-09
700,2.43334e-09
701,2.43317e-09
702,2.43301e-09
703,2.43285e-09
704,2.43268e-09
705,2.43252e-09
706,2.43236e-09
707,2.43219e-09
708,2.43203e-09
709,2.43186e-09
710,2.4317e-09
711,2.43153e-09
712,2.43137e-09
713,2.43121e-09
714,2.43104e-09
715,2.43088e-09
716,2.43071e-09
717,2.43055e-09
718,2.43038e-09
719,2.43022e-09
720,2.43005e-09
721,2.42989e-09
722,2.42972e-09
723,2.42955e-09
724,2.42938e-09
725,2.42921e-09
726,2.42905e-09
727,2.42888e-09
728,2.42871e-09
729,2.42854e-09
730,2.42837e-09
731,2.4282e-09
732,2.42803e-09
733,2.42786e-09
734,2.42769e-09
735,2.42752e-09
736,2.42735e-09
737,2.42718e-09
738,2.42701e-09
739,2.42684e-09
740,2.42666e-09
741,2.42649e-09
742,2.42632e-09
743,2.42614e-09
744,2.42597e-09
745,2.4258e-09
746,2.42562e-09
747,2.42545e-09
748,2.42527e-09
749,2.4251e-09
750,2.42492e-09
751,2.42474e-09
752,2.42457e-09
753,2.42439e-09
754,2.42421e-09
755,2.42403e-09
756,2.42386e-09
757,2.42368e-09
758,2.4235e-09
759,2.42333e-09
760,2.42315e-09
761,2.42297e-09
762,2.42279e-09
763,2.42261e-09
764,2.42243e-09
765,2.42225e-09
766,2.42207e-09
767,2.42189e-09
768,2.42171e-09
769,2.42153e-09
770,2.42135e-09
771,2.42117e-09
772,2.42099e-09
773,2.4208e-09
774,2.42062e-09
775,2.42044e-09
776,2.42026e-09
777,2.42008e-09
778,2.4199e-09
779,2.41972e-09
780,2.41953e-09
781,2.41935e-09
782,2.41917e-09
783,2.41899e-09
784,2.41881e-09
785,2.41862e-09
786,2.41844e-09
787,2.41826e-09
788,2.41807e-09
789,2.41789e-09
790,2.4177e-09
791,2.41752e-09
792,2.41734e-09
793,2.41715e-09
794,2.41696e-09
795,2.41678e-09
796,2.41659e-09
797,2.41641e-09
798,2.41622e-09
799,2.41603e-09
800,2.41585e-09
801,2.41566e-09
802,2.41547e-09
803,2.41528e-09
804,2.41509e-09
805,2.4149e-09
806,2.41472e-09
807,2.41453e-09
808,2.41434e-09
809,2.41415e-09
810,2.41397e-09
811,2.41378e-09
812,2.41359e-09
813,2.4134e-09
814,2.41321e-09
815,2.41302e-09
816,2.41283e-09
817,2.41264e-09
818,2.41245e-09
819,2.41226e-09
820,2.41207e-09
821,2.41188e-09
822,2.41169e-09
823,2.4115e-09
824,2.41131e-09
825,2.41112e-09
826,2.41092e-09
827,2.41073e-09
828,2.41054e-09
829,2.41035e-09
830,2.41015e-09
831,2.40996e-09
832,2.40976e-09
833,2.40957e-09
834,2.40938e-09
835,2.40918e-09
836,2.40899e-09
837,2.4088e-09
838,2.4086e-09
839,2.40841e-09
840,2.40822e-09
841,2.40802e-09
842,2.40783e-09
843,2.40763e-09
844,2.40743e-09
845,2.40724e-09
846,2.40704e-09
847,2.40684e-09
848,2.40665e-09
849,2.40645e-09
850,2.40625e-09
851,2.40605e-09
852,2.40586e-09
853,2.40566e-09
854,2.40546e-09
855,2.40526e-09
856,2.40506e-09
857,2.40486e-09
858,2.40466e-09
859,2.40446e-09
860,2.40425e-09
861,2.40405e-09
862,2.40385e-09
863,2.40365e-09
864,2.40345e-09
865,2.40325e-09
866,2.40304e-09
867,2.40284e-09
868,2.40264e-09
869,2.40243e-09
870,2.40223e-09
871,2.40202e-09
872,2.40181e-09
873,2.40161e-09
874,2.4014e-09
875,2.40119e-09
876,2.40098e-09
877,2.40077e-09
878,2.40056e-09
879,2.40035e-09
880,2.40014e-09
881,2.39993e-09
