Step,ToT (s)
1,2.2019e-09
2,2.20588e-09
3,2.20934e-09
4,2.21319e-09
5,2.21717e-09
6,2.22073e-09
7,2.22414e-09
8,2.2275e-09
9,2.23136e-09
10,2.23472e-09
11,2.23816e-09
12,2.24138e-09
13,2.24455e-09
14,2.24768e-09
15,2.25081e-09
16,2.25421e-09
17,2.2574e-09
18,2.26049e-09
19,2.26346e-09
20,2.26636e-09
21,2.26923e-09
22,2.27215e-09
23,2.27477e-09
24,2.27764e-09
25,2.2805e-09
26,2.28308e-09
27,2.28584e-09
28,2.28867e-09
29,2.29132e-09
30,2.2939e-09
31,2.29645e-09
32,2.29894e-09
33,2.30141e-09
34,2.30388e-09
35,2.30628e-09
36,2.30861e-09
37,2.31105e-09
38,2.31331e-09
39,2.31558e-09
40,2.31764e-09
41,2.31991e-09
42,2.32215e-09
43,2.32437e-09
44,2.32656e-09
45,2.32872e-09
46,2.3308e-09
47,2.33285e-09
48,2.33488e-09
49,2.33698e-09
50,2.33896e-09
51,2.34091e-09
52,2.34282e-09
53,2.34482e-09
54,2.3467e-09
55,2.34856e-09
56,2.35059e-09
57,2.35242e-09
58,2.35423e-09
59,2.35596e-09
60,2.35771e-09
61,2.35945e-09
62,2.36129e-09
63,2.36302e-09
64,2.36472e-09
65,2.36636e-09
66,2.368e-09
67,2.36967e-09
68,2.37131e-09
69,2.3729e-09
70,2.37448e-09
71,2.37603e-09
72,2.37757e-09
73,2.37903e-09
74,2.3805e-09
75,2.38198e-09
76,2.3835e-09
77,2.38499e-09
78,2.38644e-09
79,2.38789e-09
80,2.38931e-09
81,2.39071e-09
82,2.39209e-09
83,2.39346e-09
84,2.3948e-09
85,2.39614e-09
86,2.39745e-09
87,2.39873e-09
88,2.40004e-09
89,2.40129e-09
90,2.40254e-09
91,2.40378e-09
92,2.40505e-09
93,2.40627e-09
94,2.40749e-09
95,2.40868e-09
96,2.40986e-09
97,2.41103e-09
98,2.4122e-09
99,2.41335e-09
100,2.41448e-09
101,2.41556e-09
102,2.41666e-09
103,2.41776e-09
104,2.41884e-09
105,2.41992e-09
106,2.421e-09
107,2.42206e-09
108,2.42311e-09
109,2.42415e-09
110,2.42516e-09
111,2.42616e-09
112,2.42721e-09
113,2.42819e-09
114,2.42916e-09
115,2.4301e-09
116,2.43106e-09
117,2.43201e-09
118,2.43295e-09
119,2.43387e-09
120,2.43479e-09
121,2.4357e-09
122,2.43661e-09
123,2.43751e-09
124,2.4384e-09
125,2.43928e-09
126,2.44015e-09
127,2.44101e-09
128,2.44186e-09
129,2.44271e-09
130,2.44354e-09
131,2.44436e-09
132,2.44518e-09
133,2.44597e-09
134,2.44677e-09
135,2.44756e-09
136,2.44834e-09
137,2.44911e-09
138,2.44987e-09
139,2.45063e-09
140,2.45138e-09
141,2.45212e-09
142,2.45285e-09
143,2.45358e-09
144,2.45429e-09
145,2.455e-09
146,2.4557e-09
147,2.4564e-09
148,2.45708e-09
149,2.45776e-09
150,2.45843e-09
151,2.45911e-09
152,2.45979e-09
153,2.46045e-09
154,2.46111e-09
155,2.46176e-09
156,2.4624e-09
157,2.46303e-09
158,2.46366e-09
159,2.46428e-09
160,2.46489e-09
161,2.4655e-09
162,2.4661e-09
163,2.46669e-09
164,2.46729e-09
165,2.46787e-09
166,2.46845e-09
167,2.46903e-09
168,2.46959e-09
169,2.47016e-09
170,2.47071e-09
171,2.47128e-09
172,2.47182e-09
173,2.47235e-09
174,2.47288e-09
175,2.4734e-09
176,2.47392e-09
177,2.47443e-09
178,2.47494e-09
179,2.47543e-09
180,2.47593e-09
181,2.47641e-09
182,2.4769e-09
183,2.47737e-09
184,2.47784e-09
185,2.47828e-09
186,2.47876e-09
187,2.47923e-09
188,2.4797e-09
189,2.48015e-09
190,2.48061e-09
191,2.48105e-09
192,2.48149e-09
193,2.48193e-09
194,2.48236e-09
195,2.48279e-09
196,2.48321e-09
197,2.48363e-09
198,2.48404e-09
199,2.48445e-09
200,2.48485e-09
201,2.48528e-09
202,2.48567e-09
203,2.48606e-09
204,2.48646e-09
205,2.48684e-09
206,2.48722e-09
207,2.48757e-09
208,2.48794e-09
209,2.4883e-09
210,2.48866e-09
211,2.48902e-09
212,2.48937e-09
213,2.48972e-09
214,2.49006e-09
215,2.4904e-09
216,2.49073e-09
217,2.49107e-09
218,2.4914e-09
219,2.49172e-09
220,2.49203e-09
221,2.49235e-09
222,2.49267e-09
223,2.49298e-09
224,2.49327e-09
225,2.49357e-09
226,2.49388e-09
227,2.49419e-09
228,2.49449e-09
229,2.49478e-09
230,2.49508e-09
231,2.49537e-09
232,2.49565e-09
233,2.49594e-09
234,2.49622e-09
235,2.49649e-09
236,2.49677e-09
237,2.49704e-09
238,2.4973e-09
239,2.49757e-09
240,2.49783e-09
241,2.49808e-09
242,2.49833e-09
243,2.49858e-09
244,2.49883e-09
245,2.49907e-09
246,2.49931e-09
247,2.49954e-09
248,2.49978e-09
249,2.50001e-09
250,2.50023e-09
251,2.50046e-09
252,2.50068e-09
253,2.50089e-09
